entropy,has_ip,numDigits,urlLength,numParameters,numFragments,isEncoded,numEncodedChar,numberOfPeriods,urlHasPortInString,num_%20,num_@,numSubDomains,hasHttp,hasHttps,urlAge,urlIntendedLifeSpan,urlLifeRemaining,urlIsLive,daysSinceExpiration,bodyLength,numTitles,numImages,numLinks,scriptLength,specialChars,sscr,sbr,bscr,numberOfWhitespace,numberOfIncludedElements,numberOfDoubleDocuments,numberOfIframes,File
-4.065079515,0,0,36,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,8034,8400,366,FALSE,366,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.950974553,0,0,38,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,68,365,296,FALSE,296,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.132481467,0,0,49,0,0,FALSE,0,2,FALSE,0,0,4,FALSE,TRUE,8620,8765,145,TRUE,145,2492,1,2,1,1956,532,3.676691729,0.784911717,0.213483146,0,1,0,0,tt-data/phish_links
-4.590851351,0,3,53,0,0,FALSE,0,4,FALSE,0,0,2,FALSE,TRUE,488,729,241,TRUE,241,3036,0,1,0,2566,1427,1.798177996,0.845191041,0.47002635,1942,5,0,0,tt-data/phish_links
-4.253863368,0,0,38,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,0,0,0,TRUE,0,85,2,0,0,0,16,0,0,0.188235294,0,0,0,0,tt-data/phish_links
-4.003705369,0,1,46,0,0,FALSE,0,1,FALSE,0,0,4,FALSE,TRUE,51,365,313,TRUE,313,406,0,0,0,395,33,11.96969697,0.972906404,0.081280788,15,0,0,0,tt-data/phish_links
-4.045862642,0,0,46,0,0,FALSE,0,3,FALSE,0,0,2,FALSE,TRUE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.32484873,0,0,31,0,0,FALSE,0,1,FALSE,0,0,1,TRUE,FALSE,5667,7671,2004,TRUE,2004,1248,2,0,3,0,253,0,0,0.202724359,0,0,0,0,tt-data/phish_links
-3.716016062,0,9,34,0,0,FALSE,0,5,FALSE,0,0,1,TRUE,FALSE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.280226254,0,0,29,0,0,FALSE,0,2,FALSE,0,0,0,TRUE,FALSE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.15029266,0,0,35,0,0,FALSE,0,1,FALSE,0,0,1,FALSE,TRUE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.629219687,0,0,22,0,0,FALSE,0,1,FALSE,0,0,1,TRUE,FALSE,4069,4383,313,TRUE,313,1519,5,0,25,551,374,1.473262032,0.362738644,0.246214615,824,10,0,0,tt-data/phish_links
-4.04874484,0,0,58,0,0,FALSE,0,6,FALSE,0,0,2,TRUE,FALSE,369,731,361,FALSE,361,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.066784213,0,0,31,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,199,365,165,FALSE,165,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.483467387,0,4,55,0,0,FALSE,0,4,FALSE,0,0,1,FALSE,TRUE,1107,1461,353,TRUE,353,0,0,0,0,0,0,0,0,0,0,0,-3,0,tt-data/phish_links
-4.366091329,0,6,38,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,3742,4017,274,TRUE,274,741,2,0,1,0,212,0,0,0.286099865,0,0,0,0,tt-data/phish_links
-4.039148672,0,0,28,0,0,FALSE,0,1,FALSE,0,0,2,FALSE,TRUE,38,365,326,FALSE,326,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-4.091135423,0,0,31,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,0,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
-3.810081021,0,0,27,0,0,FALSE,0,2,FALSE,0,0,1,FALSE,TRUE,2935,0,0,FALSE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,tt-data/phish_links
